,date,portfolio_value,daily_pnl,num_positions
353,2023-05-31,-26.578979616906327,-2.087933940274673,1
354,2023-06-01,-26.104475169453327,0.47450444745299997,1
355,2023-06-02,-27.32188050916107,-1.217405339707741,1
356,2023-06-05,-27.55746167688377,-0.2355811677226988,1
357,2023-06-06,-27.83903766540295,-0.2815759885191847,1
358,2023-06-07,-28.05369927515517,-0.21466160975222098,1
359,2023-06-08,-28.375510512725324,-0.3218112375701532,1
360,2023-06-09,-28.827118726380625,-0.4516082136553011,1
361,2023-06-12,-29.60893296178082,-0.7818142354001939,1
362,2023-06-13,-31.636405343108063,-2.027472381327242,1
363,2023-06-14,-32.44183042711731,-0.8054250840092504,1
364,2023-06-15,-32.849715177865946,-0.40788475074863856,1
365,2023-06-16,-33.145437480872566,-0.29572230300661817,1
366,2023-06-20,-33.5332114012616,-0.387773920389038,1
367,2023-06-21,-33.77012621465619,-0.23691481339458087,1
368,2023-06-22,-34.39096976066379,-0.6208435460076075,1
369,2023-06-23,-35.061110333741304,-0.6701405730775091,1
370,2023-06-26,-35.7003607627181,-0.6392504289767971,1
371,2023-06-27,-36.611628517816094,-0.9112677550979954,1
372,2023-06-28,-38.800008719752746,-2.188380201936654,1
373,2023-06-29,-39.61616961950084,-0.8161608997480903,1
374,2023-06-30,-40.23012494508034,-0.6139553255795008,1
375,2023-07-03,-40.891797929426495,-0.6616729843461552,1
376,2023-07-05,-41.25370432031873,-0.36190639089224014,1
377,2023-07-06,-41.63918461644934,-0.38548029613060686,1
378,2023-07-07,-41.71984801536447,-0.08066339891512854,1
379,2023-07-10,-41.924274214173614,-0.20442619880914378,1
380,2023-07-11,-41.85739071770633,0.06688349646728153,1
381,2023-07-12,-41.67772934199979,0.1796613757065385,1
382,2023-07-13,-41.300951692592506,0.3767776494072907,1
383,2023-07-14,-41.16132958443953,0.13962210815297935,1
384,2023-07-17,-41.236376830073354,-0.07504724563382287,1
385,2023-07-18,-41.13456506150075,0.10181176857260221,1
386,2023-07-19,-41.0595666141868,0.07499844731395337,1
387,2023-07-20,-40.956631767521706,0.10293484666509069,1
388,2023-07-21,-40.6314885905372,0.3251431769845016,1
389,2023-07-24,-40.05118574006713,0.580302850470066,1
390,2023-07-25,-39.34225236877549,0.7089333712916418,1
391,2023-07-26,-38.75346353236257,0.5887888364129228,1
392,2023-07-27,-37.97917934074357,0.7742841916189936,1
393,2023-07-28,-37.11216920714822,0.8670101335953483,1
394,2023-07-31,-36.18459992359656,0.9275692835516655,1
395,2023-08-01,-35.369553034965534,0.8150468886310231,1
396,2023-08-02,-34.802601222579284,0.566951812386253,1
397,2023-08-03,-33.988278519878264,0.8143227027010187,1
398,2023-08-04,-33.05099730164207,0.9372812182361966,1
399,2023-08-07,-32.25255082340033,0.7984464782417455,1
400,2023-08-08,-31.37171071038343,0.8808401130168965,1
401,2023-08-09,-30.350481687385255,1.0212290229981726,1
402,2023-08-10,-29.495073074621015,0.8554086127642386,1
403,2023-08-11,-28.617839260335312,0.8772338142857019,1
404,2023-08-14,-27.831917592119723,0.785921668215588,1
405,2023-08-15,-27.207126633765352,0.6247909583543717,1
406,2023-08-16,-26.74517731981398,0.4619493139513718,1
407,2023-08-17,-27.723006347072108,-0.977829027258127,1
408,2023-08-18,-29.835875036385705,-2.1128686893135966,1
409,2023-08-21,-29.214829473460686,0.6210455629250197,1
410,2023-08-22,-28.65442852825566,0.5604009452050246,1
411,2023-08-23,-28.194027543166317,0.460400985089344,1
412,2023-08-24,-27.724960029976643,0.4690675131896745,1
413,2023-08-25,-27.14574777308298,0.579212256893663,1
414,2023-08-28,-26.58482272413804,0.5609250489449402,1
415,2023-08-29,-25.92743909815372,0.6573836259843199,1
416,2023-08-30,-25.24987219135973,0.6775669067939888,1
417,2023-08-31,-24.494102403307384,0.7557697880523476,1
418,2023-09-01,-23.603717900903035,0.8903845024043487,1
419,2023-09-05,-22.612110709269757,0.9916071916332778,1
420,2023-09-06,-21.614062875229312,0.9980478340404451,1
421,2023-09-07,-20.715894296392865,0.8981685788364471,1
422,2023-09-08,-19.797606806754075,0.9182874896387876,1
423,2023-09-11,-18.920776867402015,0.8768299393520606,1
424,2023-09-12,-17.980727127877003,0.940049739525012,1
425,2023-09-13,-17.099676051846565,0.8810510760304378,1
426,2023-09-14,-16.143583757025667,0.9560922948208965,1
427,2023-09-15,-15.226845682193304,0.9167380748323639,1
428,2023-09-18,-14.333246926344152,0.8935987558491513,1
429,2023-09-19,-13.49698962276611,0.8362573035780428,1
430,2023-09-20,-12.751049388486873,0.7459402342792364,1
431,2023-09-21,-12.057474962392424,0.6935744260944486,1
432,2023-09-22,-11.403000473106829,0.6544744892855949,1
433,2023-09-25,-10.78318430406343,0.6198161690433984,1
434,2023-09-26,-10.169615929000617,0.6135683750628138,1
435,2023-09-27,-9.490911882890687,0.6787040461099297,1
436,2023-09-28,-8.89968262910717,0.5912292537835165,1
437,2023-09-29,-8.34764989676992,0.5520327323372505,1
438,2023-10-02,-7.975715483162255,0.37193441360766444,1
439,2023-10-03,-9.11399083311557,-1.1382753499533151,1
440,2023-10-04,-9.350437619859731,-0.23644678674416023,1
441,2023-10-05,-9.53121906130726,-0.18078144144752825,1
442,2023-10-06,-9.733959603507769,-0.20274054220050888,1
443,2023-10-09,-10.073009019426355,-0.33904941591858545,1
444,2023-10-10,-11.90473726024084,-1.831728240814484,1
445,2023-10-11,-11.59543717340855,0.30930008683228893,1
446,2023-10-12,-12.786245090764863,-1.1908079173563133,1
447,2023-10-13,-14.86468588222223,-2.078440791457367,1
448,2023-10-16,-14.262231342984531,0.6024545392376973,1
449,2023-10-17,-13.670650311335793,0.5915810316487383,1
450,2023-10-18,-13.020524170928383,0.6501261404074097,1
451,2023-10-19,-12.357793009024963,0.6627311619034197,1
452,2023-10-20,-11.739121021715713,0.618671987309251,1
453,2023-10-23,-11.25531703430517,0.48380398741054215,1
454,2023-10-24,-10.866696503125755,0.38862053117941436,1
455,2023-10-25,-11.906464801391701,-1.0397682982659455,1
456,2023-10-26,-13.811236363707943,-1.9047715623162413,1
457,2023-10-27,-13.95793469930186,-0.14669833559391776,0
458,2023-10-30,-14.70793469930186,-0.75,1
459,2023-10-31,-14.986975382328774,-0.2790406830269134,0
460,2023-11-01,-15.736975382328774,-0.75,1
461,2023-11-02,-16.76653984323434,-1.029564460905568,1
462,2023-11-03,-18.64292722158398,-1.876387378349639,1
463,2023-11-06,-18.20388132854592,0.4390458930380626,1
464,2023-11-07,-18.02202690504348,0.18185442350243958,1
465,2023-11-08,-19.483691876934497,-1.4616649718910195,1
466,2023-11-09,-19.559919539506957,-0.07622766257245861,1
467,2023-11-10,-19.741947152339797,-0.1820276128328385,1
468,2023-11-13,-21.50740610240038,-1.7654589500605826,1
469,2023-11-14,-21.222292729531134,0.28511337286924815,1
470,2023-11-15,-21.044947664938952,0.17734506459218233,1
471,2023-11-16,-21.169650570828942,-0.12470290588999053,1
472,2023-11-17,-22.538579931057665,-1.3689293602287242,1
473,2023-11-20,-24.324521398402812,-1.7859414673451468,1
474,2023-11-21,-24.003910778299783,0.32061062010302965,1
475,2023-11-22,-23.732202798611254,0.27170797968852833,1
476,2023-11-24,-23.587970621562214,0.14423217704904165,1
477,2023-11-27,-23.498373366732274,0.08959725482994067,1
478,2023-11-28,-23.25737966671894,0.24099370001333476,1
479,2023-11-29,-22.893412570389938,0.36396709632900215,1
480,2023-11-30,-22.55862032527978,0.33479224511015876,1
481,2023-12-01,-22.56718905926001,-0.008568733980228786,1
482,2023-12-04,-24.14862295242143,-1.581433893161422,1
483,2023-12-05,-23.9853491532749,0.16327379914653134,1
484,2023-12-06,-23.558969940674267,0.42637921260063355,1
485,2023-12-07,-23.117798548647713,0.44117139202655437,1
486,2023-12-08,-22.842070943775262,0.27572760487245046,1
487,2023-12-11,-24.08611712274157,-1.2440461789663066,1
